time,KE_x,KE_y,KE_total,vorticity_max,vortex_spacing,mixing_variance,gamma_growth_rate
5.600181,1.0919279,0.020206412,1.1121343,60.634422,0.5,9.600769e-05,1.1572225920355186
5.7000074,1.0917382,0.018902477,1.1106406,58.696983,0.5,9.102022e-05,1.1572225920355186
5.8004375,1.089455,0.019737301,1.1091923,56.707573,0.25,8.832896e-05,1.1572225920355186
5.900246,1.0893353,0.01850128,1.1078366,54.50917,0.5,8.675597e-05,1.1572225920355186
6.0000935,1.0898483,0.018348133,1.1081964,56.650116,0.5,8.3328974e-05,1.1572225920355186
6.1000013,1.0887163,0.018379418,1.1070957,59.70011,0.5,7.944708e-05,1.1572225920355186
6.2005324,1.0881665,0.018862193,1.1070287,60.63205,0.5,7.742263e-05,1.1572225920355186
6.3001976,1.0900983,0.016254423,1.1063527,59.169178,0.5,7.563349e-05,1.1572225920355186
6.400535,1.0914295,0.014706466,1.106136,59.30367,0.5,7.260266e-05,1.1572225920355186
6.5002303,1.0886143,0.015619399,1.1042337,56.75111,0.5,7.0656984e-05,1.1572225920355186
6.600527,1.0856586,0.019558653,1.1052172,54.341858,0.5,6.943088e-05,1.1572225920355186
6.7002716,1.0849837,0.021031335,1.1060151,54.963264,0.5,6.691202e-05,1.1572225920355186
6.8003397,1.0820861,0.021771006,1.103857,55.151855,0.5,6.4727654e-05,1.1572225920355186
6.900178,1.0778288,0.025577545,1.1034063,54.23858,0.5,6.206378e-05,1.1572225920355186
7.0000525,1.0743644,0.028516468,1.1028808,55.58448,0.5,5.9164202e-05,1.1572225920355186
7.1002793,1.0721614,0.028500693,1.1006621,56.88568,0.5,5.5621924e-05,1.1572225920355186
7.20051,1.0718395,0.027871078,1.0997106,56.066185,0.5,5.2497824e-05,1.1572225920355186
7.3005185,1.0728666,0.027415521,1.1002821,53.80577,0.5,5.095282e-05,1.1572225920355186
7.400262,1.0724605,0.028681967,1.1011425,51.18766,0.5,4.945122e-05,1.1572225920355186
7.5004773,1.068005,0.0313851,1.09939,51.953644,0.5,4.7480546e-05,1.1572225920355186
7.600299,1.0648375,0.032718204,1.0975556,50.788727,0.5,4.623429e-05,1.1572225920355186
7.7002378,1.0645766,0.032480244,1.0970569,50.30863,0.5,4.464163e-05,1.1572225920355186
7.800457,1.0630722,0.032475248,1.0955474,50.598568,0.5,4.3370528e-05,1.1572225920355186
7.900322,1.060026,0.036079656,1.0961057,51.122444,0.5,4.218911e-05,1.1572225920355186
8.000483,1.0604869,0.036385372,1.0968723,51.427124,0.5,4.1182742e-05,1.1572225920355186
8.100218,1.0631021,0.033229776,1.096332,51.140396,0.5,4.038938e-05,1.1572225920355186
8.200298,1.0665191,0.029447813,1.0959669,51.324356,0.5,3.9575018e-05,1.1572225920355186
8.300435,1.0678676,0.027282996,1.0951506,52.30619,0.5,3.877449e-05,1.1572225920355186
8.4001665,1.0665388,0.026647208,1.093186,50.9144,0.5,3.830698e-05,1.1572225920355186
8.500341,1.0674722,0.02566151,1.0931337,51.778946,0.5,3.7410024e-05,1.1572225920355186
8.600266,1.0705943,0.024146553,1.0947409,53.223045,0.5,3.6417907e-05,1.1572225920355186
8.700492,1.07168,0.023432093,1.0951121,53.446434,0.5,3.62785e-05,1.1572225920355186
8.800339,1.0709372,0.023299694,1.0942369,52.48435,0.5,3.6321384e-05,1.1572225920355186
8.900227,1.0724202,0.0214594,1.0938797,49.76878,0.5,3.6780577e-05,1.1572225920355186
9.000486,1.0720685,0.021320207,1.0933887,47.343815,0.5,3.7029487e-05,1.1572225920355186
9.100375,1.0727785,0.020833453,1.093612,47.738632,0.5,3.6455338e-05,1.1572225920355186
9.2004595,1.0733206,0.018991005,1.0923116,46.94117,0.5,3.5722886e-05,1.1572225920355186
9.300463,1.0741174,0.01811822,1.0922357,47.957626,0.25,3.5125548e-05,1.1572225920355186
9.4001875,1.0735297,0.019148272,1.092678,48.546883,0.5,3.442703e-05,1.1572225920355186
9.500429,1.0736132,0.019078633,1.0926918,48.97518,0.5,3.432742e-05,1.1572225920355186
9.600521,1.0753455,0.017723434,1.093069,48.463673,0.5,3.4264358e-05,1.1572225920355186
9.700479,1.0753291,0.01770175,1.0930308,47.688263,0.5,3.3541e-05,1.1572225920355186
9.800131,1.0743845,0.018501371,1.0928859,47.08695,0.5,3.331251e-05,1.1572225920355186
9.900038,1.0747507,0.018684395,1.093435,47.47199,0.5,3.2751126e-05,1.1572225920355186
10.0,1.0756617,0.017818535,1.0934802,46.68976,0.5,3.2192303e-05,1.1572225920355186
